,Name,Type,Vname,Stype,Decom,LDZ,Mtype,Streams,Owner,Aname,Atype,Alttype,lat,lon
1,Bacton BBL,Demand,"NTS Energy Offtaken, BactonBBL, Interconnector",Interconnector,N,N/A,Ultrasonic,3,BBL Company,N/A,A,N/A,52.8608,1.4575
2,Bacton Interconnector (IUK),Demand,"NTS Energy Offtaken, Bacton, Interconnector",Interconnector,N,N/A,Orifice Plate,6,Interconector UK,N/A,A,N/A,52.8608,1.4575
3,Baglan Bay Power Station,Demand,"NTS Energy Offtaken, BaglanBay, NTS Power Station",NTS Power Station,N,N/A,Turbine,2,Calon Energy,N/A,A,N/A,51.685008,-3.835795
4,BASF Industrial (Ineos Nitriles),Demand,"NTS Energy Offtaken, BASF, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,3,Ineos Nitriles (UK) Ltd,N/A,A,N/A,54.608629,-1.176212
5,Blackbridge Power Station,Demand,"NTS Energy Offtaken, BlackBridge, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,4,RWE,N/A,A,N/A,51.684368,-4.996706
6,Blackburn Mill Industrial,Demand,"NTS Energy Offtaken, BlackburnM, Industrial Offtake",Industrial Offtake,N,N/A,Ultrasonic,2,Scottish Power,N/A,A,N/A,53.717978,-2.600974
7,BOC Teesside Industrial (Teesside Hydrogen),Demand,"NTS Energy Offtaken, BOCTees, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,2,BOC,N/A,A,N/A,54.610392,-1.197015
8,BP (Ineous) Grangemouth Power Station,Demand,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",Industrial Offtake,N,N/A,Turbine,6,Ineos,N/A,A,N/A,55.920234,-3.742881
9,BP Saltend HP Industrial,Demand,"NTS Energy Offtaken, BPSaltendHP, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.7339662,-0.2410642
10,Bridgewater Paper Industrial,Demand,"NTS Energy Offtaken, BrdgewaterP, Industrial Offtake",Industrial Offtake,N,N/A,Turbine,2,RWE,N/A,A,N/A,53.282801,-2.79345
11,Brigg Power Station,Demand,"NTS Energy Offtaken, Brigg, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.5410676,-0.5060203
12,Burton Point Terminal/Power Station,Demand,"NTS Energy Offtaken, BurtonPoint, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.238564,-3.054889
13,Carrington Power Station,Demand,"NTS Energy Offtaken, Carrington, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,ESB International,N/A,A,N/A,53.4365499,-2.4076961
14,Centrax Industrial,Demand,"NTS Energy Offtaken, Centrax, Industrial Offtake",Industrial Offtake,N,N/A,Turbine,2,National Grid Gas GTO,N/A,A,N/A,50.5264497,-3.579472
15,Corby Power Station,Demand,"NTS Energy Offtaken, Corby, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,52.5108938,-0.6814217
16,Coryton Power Station,Demand,"NTS Energy Offtaken, Coryton, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,3,Coryton Energy Company,N/A,A,N/A,51.529382,0.392791
17,Cottam Power Station,Demand,"NTS Energy Offtaken, Cottam, NTS Power Station",NTS Power Station,N,N/A,Turbine,3,Uniper (E.ON),N/A,A,N/A,53.3085431,-0.7858038
18,Damhead Creek Power Station,Demand,"NTS Energy Offtaken, DamheadCreek, NTS Power Station",NTS Power Station,N,N/A,Turbine,4,Scottish Power,N/A,A,N/A,51.4253164,0.6012249
19,Deeside Power Station,Demand,"NTS Energy Offtaken, Deeside, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.2327107,-3.0528861
20,Didcot B Power Station,Demand,"NTS Energy Offtaken, Didcot, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,51.6232426,-1.2676357
21,Epping Green Power Station (Enfield),Demand,"NTS Energy Offtaken, EppingGreen, NTS Power Station",NTS Power Station,N,N/A,Turbine,2,Uniper (E.ON),N/A,A,N/A,51.6627778,-0.0227778
22,Goole Glass (Guardian Industries) Industrial,Demand,"NTS Energy Offtaken, GooleGlass, Industrial Offtake",Industrial Offtake,N,N/A,Turbine,2,Guardian Industries,N/A,A,N/A,53.6982245,-0.9098698
23,Gowkhall Power Station,Demand,"NTS Energy Offtaken, Gosberton, EM, LDZ Offtake",Sdemand,N,EM,Ultrasonic,2,National Grid Gas GTO,N/A,A,N/A,56.077636,-3.519346
24,Grain Power Station,Demand,"NTS Energy Offtaken, Grain, NTS Power Station",NTS Power Station,N,N/A,Turbine,2,Uniper (E.ON),N/A,A,N/A,51.4529756,0.7158219
25,Great Yarmouth Power Station,Demand,"NTS Energy Offtaken, GtYarmouth, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,52.856384,1.458039
26,Hays Chemicals (Albion Inorganic Chemicals) industrial,Demand,"NTS Energy Offtaken, HaysChem, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.1646527,-2.4061066
27,ICI Billingham,Demand,"NTS Energy Offtaken, ICIBillnghm, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,1,National Grid Gas GTO,N/A,A,N/A,54.5934886,-1.2820574
28,ICI Runcorn (Inovyn) Industrial,Demand,"NTS Energy Offtaken, ICIRuncorn, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,1,National Grid Gas GTO,N/A,A,N/A,53.3290201,-2.7583992
29,Immingham Industrial,Demand,"NTS Energy Offtaken, Immingham, Industrial Offtake",Industrial Offtake,N,N/A,Ultrasonic,2,Immingham CHP (Vitol),N/A,A,N/A,53.616799,-0.18778
30,Keadby Power Station,Demand,"NTS Energy Offtaken, Keadby, NTS Power Station",NTS Power Station,N,N/A,Turbine,1,National Grid Gas GTO,N/A,A,N/A,53.5946857,-0.7493019
31,Keadby B Power Station,Demand,"NTS Energy Offtaken, KeadbyB, NTS Power Station",NTS Power Station,N,N/A,Turbine,1,Keadby Generation,N/A,A,N/A,53.5946857,-0.7493019
32,Kings Lynn Power Station,Demand,"NTS Energy Offtaken, KingsLynn, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,1,National Grid Gas GTO,N/A,A,N/A,52.7280252,0.3792985
33,Langage Power Station,Demand,"NTS Energy Offtaken, Langage, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,Centrica,N/A,A,N/A,50.3883105,-4.0109088
34,Little Barford Power Station,Demand,"NTS Energy Offtaken, LtBarford, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,52.2035244,-0.2690738
35,Marchwood Power Station,Demand,"NTS Energy Offtaken, Marchwood, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,Marchwood Power,N/A,A,Turbine,50.8995754,-1.4381038
36,Medway Power Station,Demand,"NTS Energy Offtaken, Medway, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,National Grid Gas GTO,N/A,A,N/A,51.439788,0.6909923
37,Moffat,Demand,"NTS Energy Offtaken, Moffat, Interconnector",Interconnector,N,N/A,Ultrasonic,3,National Grid Gas GTO,N/A,A,N/A,55.162897,-3.261467
38,Peterborough Power Station,Demand,"NTS Energy Offtaken, Peterboro, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,NK,National Grid Gas GTO,N/A,A,N/A,52.5769664,-0.2038821
39,Peterhead Power Station,Demand,"NTS Energy Offtaken, Peterhead, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,3,SSE,N/A,A,N/A,57.566238,-1.833835
40,Phillips Teesside Power Station,Demand,"NTS Energy Offtaken, PhilipsTees, Industrial Offtake",Industrial Offtake,N,N/A,Turbine,2,ConocoPhillips Cogen,N/A,A,N/A,54.5755144,-1.1271851
41,Rocksavage Power Station,Demand,"NTS Energy Offtaken, Rocksavage, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.3154401,-2.7254151
42,Rye House Power Station,Demand,"NTS Energy Offtaken, RyeHouse, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,51.7616963,0.0090096
43,Saltend Power Station,Demand,"NTS Energy Offtaken, Saltend, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,5,Saltend Cogeneration Company,N/A,A,N/A,53.735721,-0.243241
44,Seabank B Power Station,Demand,"NTS Energy Offtaken, SeabankB, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,NK,National Grid Gas GTO,N/A,A,N/A,51.5393248,-2.6701638
45,Seabank Power Station,Demand,"NTS Energy Offtaken, Seabank, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,3,Seabank Power,N/A,A,N/A,51.5393248,-2.6701638
46,Sellafield Power Station,Demand,"NTS Energy Offtaken, Sellafield, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,54.4250625,-3.5044724
47,Shellstar Industrial,Demand,"NTS Energy Offtaken, ShellStar, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,1,National Grid Gas GTO,N/A,A,N/A,53.2826749,-2.7925265
48,Spalding Power Station,Demand,"NTS Energy Offtaken, Spalding, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,Spalding Energy Company,N/A,A,N/A,52.806854,-0.1332736
49,Stallingborough 1 Power Station (South Humber Bank),Demand,"NTS Energy Offtaken, Stallingbor1, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,3,Centrica,N/A,A,N/A,53.6017532,-0.1451153
50,Stallingborough 2 Power Station (South Humber Bank),Demand,"NTS Energy Offtaken, Stallingbor2, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,3,Centrica,N/A,A,N/A,53.6017532,-0.1451153
51,Staythorpe Power Station,Demand,"NTS Energy Offtaken, Staythorpe, NTS Power Station",NTS Power Station,N,N/A,Turbine,2,RWE,N/A,A,N/A,53.0747925,-0.8558455
52,Sutton Bridge Power Station,Demand,"NTS Energy Offtaken, SuttonBridge, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,Calon Energy,N/A,A,N/A,52.7568982,0.1935787
53,Teesside PX Power Station,Demand,"NTS Energy Offtaken, Teesside NSMP, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,7,px limited,N/A,A,Ultrasonic,54.610528,-1.197422
54,Thornton Curtis C Power Station,Demand,"NTS Energy Offtaken, ThorntonCurt, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,National Grid Gas GTO,N/A,A,N/A,53.6585299,-0.2542042
55,West Burton Power Station,Demand,"NTS Energy Offtaken, WestBurtonPS, NTS Power Station",NTS Power Station,N,N/A,NK,NK,EDF Energy,N/A,A,N/A,53.3667555,-0.7970137
56,Winnington Power Station,Demand,"NTS Energy Offtaken, Winnington, Industrial Offtake",Industrial Offtake,N,N/A,NK,NK,E.ON/Tata Chemicals,N/A,A,N/A,53.29833,-2.437198
58,Barking Power Station,Demand,"NTS Energy Offtaken, Barking, NTS Power Station",NTS Power Station,Y,N/A,Orifice Plate,1,#N/A,N/A,A,N/A,51.5211946,0.114162
59,Enron Power Station,Demand,"NTS Energy Offtaken, Enron, NTS Power Station",NTS Power Station,Y,N/A,Ultrasonic,2,#N/A,N/A,A,N/A,54.610346,-1.196773
61,Aldbrough Storage,Demand,"NTS Energy Offtaken, Aldbrough, Storage",Storage,N,N/A,Ultrasonic,2,SSE,N/A,A,N/A,53.8004668,-0.0817768
62,Beltoft (Hatfield Moor) Storage (Lindholme Compressor Station),Demand,"NTS Energy Offtaken, Hatfield Moor, Storage",Storage,N,N/A,Ultrasonic,2,Scottish Power Generation,N/A,A,N/A,53.548783,-0.765552
63,Hilltop Storage,Demand,"NTS Energy Offtaken, HillTop, Storage",Storage,N,N/A,Ultrasonic,1,EDF Energy,N/A,A,N/A,53.1470349,-2.4463039
64,Hole House Farm Storage,Demand,"NTS Energy Offtaken, HoleHousFm, Storage",Storage,N,N/A,Ultrasonic,1,EDF Energy,N/A,A,N/A,53.1470349,-2.4463039
65,Holford Storage,Demand,"NTS Energy Offtaken, Holford, Storage",Storage,N,N/A,Ultrasonic,6,Holford Gas Storage Ltd (Uniper),N/A,A,N/A,53.2262052,-2.4132166
66,Hornsea Storage,Demand,"NTS Energy Offtaken, Hornsea, Storage",Storage,N,N/A,Ultrasonic,1,SSE Hornsea Ltd,N/A,A,N/A,53.921193,-0.168408
67,Humbly Grove Storage,Demand,"NTS Energy Offtaken, HumblyGrov, Storage",Storage,N,N/A,Ultrasonic,2,Humbly Grove Energy,N/A,A,N/A,51.182633,-1.363924
68,Rough Storage,Demand,"NTS Energy Offtaken, Rough, Storage",Storage,N,N/A,Orifice Plate,3,Centrica Storage,N/A,A,N/A,54.61005,-1.196806
69,Stublach Storage,Demand,"NTS Energy Offtaken, Stublach, Storage",Storage,N,N/A,Ultrasonic,2,Storengy,N/A,A,N/A,53.2293333,-2.4613056
70,Avonmouth Storage,Demand,"NTS Energy Offtaken, Avonmouth, Storage",Storage,Y,N/A,Orifice Plate,NK,#N/A,N/A,A,N/A,51.512697,-2.6956859
72,Glenmavis Storage,Demand,"NTS Energy Offtaken, Glenmavis, Storage",Storage,Y,N/A,Orifice Plate,2,#N/A,N/A,A,N/A,55.871167,-4.035496
74,Aberdeen Offtake,Demand,"NTS Energy Offtaken, Aberdeen, SC, LDZ Offtake",NTS Offtake,N,SC,Orifice Plate,1,SGN,N/A,A,N/A,57.135671,-2.378702
75,Armadale Offtake,Demand,"NTS Energy Offtaken, Armadale, SC, LDZ Offtake",NTS Offtake,N,SC,Orifice Plate,1,SGN,N/A,A,N/A,55.897642,-3.7040786
76,Balgray Offtake,Demand,"NTS Energy Offtaken, Balgray, SC, LDZ Offtake",NTS Offtake,N,SC,Orifice Plate,1,SGN,N/A,A,N/A,55.1649364,-3.3472909
77,Bathgate Offtake,Demand,"NTS Energy Offtaken, Bathgate, SC, LDZ Offtake",NTS Offtake,N,SC,Ultrasonic,2,SGN,N/A,A,N/A,55.915488,-3.45578
78,Broxburn Offtake,Demand,"NTS Energy Offtaken, Broxburn, SC, LDZ Offtake",NTS Offtake,N,SC,Orifice Plate,1,SGN,N/A,A,N/A,55.934161,-3.744267
79,Burnhervie Offtake,Demand,"NTS Energy Offtaken, Burnhervie, SC, LDZ Offtake",NTS Offtake,N,SC,Ultrasonic,2,SGN,N/A,A,N/A,57.263332,-2.4483651
80,Careston Offtake,Demand,"NTS Energy Offtaken, Careston, SC, LDZ Offtake",NTS Offtake,N,SC,Turbine,1,SGN,N/A,A,N/A,56.728917,-2.765806
81,Drum Offtake,Demand,"NTS Energy Offtaken, Drum, SC, LDZ Offtake",NTS Offtake,N,SC,Orifice Plate,1,SGN,N/A,A,N/A,56.167924,-3.50673
82,Glenmavis Offtake,Demand,"NTS Energy Offtaken, Glenmavis, SC, LDZ Offtake",NTS Offtake,N,SC,Orifice Plate,2,SGN,N/A,A,N/A,55.886356,-3.996026
83,Hume Offtake,Demand,"NTS Energy Offtaken, Hume, SC, LDZ Offtake",NTS Offtake,N,SC,Turbine,2,SGN,N/A,A,N/A,55.665476,-2.4668066
84,Kinknockie Offtake,Demand,"NTS Energy Offtaken, Kinknockie, SC, LDZ Offtake",NTS Offtake,N,SC,Turbine,2,SGN,N/A,A,N/A,57.467419,-1.977764
85,Langholm Offtake,Demand,"NTS Energy Offtaken, Langholm, SC, LDZ Offtake",NTS Offtake,N,SC,Turbine,1,SGN,N/A,A,N/A,55.072688,-3.07027
86,Lockerbie Offtake,Demand,"NTS Energy Offtaken, Lockerbie, SC, LDZ Offtake",NTS Offtake,N,SC,Orifice Plate,1,SGN,N/A,A,N/A,55.115812,-3.173813
87,Nether Howcleugh Offtake,Demand,"NTS Energy Offtaken, NetherHwclgh, SC, LDZ Offtake",NTS Offtake,N,SC,Turbine,2,SGN,N/A,A,N/A,55.262206,-3.395186
88,Pitcairn Offtake,Demand,"NTS Energy Offtaken, Pitcairn, SC, LDZ Offtake",NTS Offtake,N,SC,Turbine,2,SGN,N/A,A,N/A,56.260989,-3.310179
89,Soutra Offtake,Demand,"NTS Energy Offtaken, Soutra, SC, LDZ Offtake",NTS Offtake,N,SC,Orifice Plate,1,SGN,N/A,A,N/A,55.8158503,-2.8752128
90,St Fergus Offtake,Demand,"NTS Energy Offtaken, StFergus, SC, LDZ Offtake",NTS Offtake,N,SC,Orifice Plate,8,SGN,N/A,A,N/A,57.569073,-1.838438
91,Audley NW Offtake,Demand,"NTS Energy Offtaken, Audley, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,52.310127,-1.404802
92,Blackrod Offtake,Demand,"NTS Energy Offtaken, Blackrod, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,53.5873599,-2.57864
93,Eccleston Offtake,Demand,"NTS Energy Offtaken, Eccleston, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,53.646615,-2.725534
94,Holmes Chapel Offtake,Demand,"NTS Energy Offtaken, HolmesChapel, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,53.120314,-2.230931
95,Lupton Offtake,Demand,"NTS Energy Offtaken, Lupton, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,54.225241,-2.68633
96,Malpas Offtake,Demand,"NTS Energy Offtaken, Malpas, NW, LDZ Offtake",NTS Offtake,N,NW,Turbine,NK,Cadent Gas,N/A,A,N/A,53.019049,-2.7673359
97,Mickle Trafford Offtake,Demand,"NTS Energy Offtaken, MickleTrafd, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,1,Cadent Gas,N/A,A,N/A,53.132538,-2.491726
98,Partington Offtake,Demand,"NTS Energy Offtaken, Partington, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,53.421777,-2.411559
99,Samlesbury Offtake,Demand,"NTS Energy Offtaken, Samlesbury, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,53.7643642,-2.6067158
100,Warburton Offtake,Demand,"NTS Energy Offtaken, Warburton, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,53.39253,-2.421767
101,Weston Point Offtake,Demand,"NTS Energy Offtaken, WestonPoint, NW, LDZ Offtake",NTS Offtake,N,NW,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,53.185218,-2.430078
102,Farningham Offtake,Demand,"NTS Energy Offtaken, Farningham, SE, LDZ Offtake",NTS Offtake,N,SE,Orifice Plate,1,SGN,N/A,A,N/A,51.380963,0.218655
103,Farningham B Offtake,Demand,"NTS Energy Offtaken, FarninghamB, SE, LDZ Offtake",NTS Offtake,N,SE,Turbine,2,SGN,N/A,A,N/A,51.380963,0.218655
104,Shorne Offtake,Demand,"NTS Energy Offtaken, Shorne, SE, LDZ Offtake",NTS Offtake,N,SE,Orifice Plate,1,SGN,N/A,A,N/A,51.4129829,0.429229
105,Tatsfield Offtake,Demand,"NTS Energy Offtaken, Tatsfield, SE, LDZ Offtake",NTS Offtake,N,SE,Orifice Plate,1,SGN,N/A,A,N/A,51.290898,0.02795
106,Winkfield SE Offtake,Demand,"NTS Energy Offtaken, Winkfield, SE, LDZ Offtake",NTS Offtake,N,SE,NK,NK,SGN,N/A,A,N/A,51.4420486,-0.6975153
107,Braishfield A Offtake,Demand,"NTS Energy Offtaken, BraishfieldA, SO, LDZ Offtake",NTS Offtake,N,SO,Ultrasonic,2,SGN,N/A,A,N/A,51.0243624,-1.4666744
108,Braishfield B Offtake,Demand,"NTS Energy Offtaken, BraishfieldB, SO, LDZ Offtake",NTS Offtake,N,SO,Ultrasonic,2,SGN,N/A,A,N/A,51.0243624,-1.4666744
109,Hardwick Offtake,Demand,"NTS Energy Offtaken, Hardwick, SO, LDZ Offtake",NTS Offtake,N,SO,Orifice Plate,1,SGN,N/A,A,N/A,51.868938,-0.842931
110,Ipsden 1 Offtake,Demand,"NTS Energy Offtaken, Ipsden1, SO, LDZ Offtake",NTS Offtake,N,SO,Orifice Plate,1,SGN,N/A,A,N/A,51.564998,-1.102233
111,Ipsden 2 Offtake,Demand,"NTS Energy Offtaken, Ipsden2, SO, LDZ Offtake",NTS Offtake,N,SO,Orifice Plate,1,SGN,N/A,A,N/A,51.564998,-1.102234
112,Mappowder Offtake,Demand,"NTS Energy Offtaken, Mappowder, SO, LDZ Offtake",NTS Offtake,N,SO,Orifice Plate,1,SGN,N/A,A,N/A,50.853807,-2.374905
113,Winkfield SO Offtake,Demand,"NTS Energy Offtaken, Winkfield, SO, LDZ Offtake",NTS Offtake,N,SO,NK,NK,SGN,N/A,A,N/A,51.4420486,-0.6975153
114,Alrewas WM Offtake,Demand,"NTS Energy Offtaken, Alrewas, WM, LDZ Offtake",NTS Offtake,N,WM,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,52.739902,-1.775305
